instrument_id,exchange,segment,security_type,angel_token,angel_symbol,base_symbol,yahoo_symbol,validation_status,last_validated,is_active,data_source,remarks
EQ_NSE_NHPC,NSE,CASH,EQUITY,17400,NHPC-EQ,NHPC,NHPC.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_VOLTAS,NSE,CASH,EQUITY,3718,VOLTAS-EQ,VOLTAS,VOLTAS.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_IEX,NSE,CASH,EQUITY,220,IEX-EQ,IEX,IEX.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_UNIONBANK,NSE,CASH,EQUITY,10753,UNIONBANK-EQ,UNIONBANK,UNIONBANK.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_NTPC,NSE,CASH,EQUITY,11630,NTPC-EQ,NTPC,NTPC.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_LT,NSE,CASH,EQUITY,11483,LT-EQ,LT,LT.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_JIOFIN,NSE,CASH,EQUITY,18143,JIOFIN-EQ,JIOFIN,JIOFIN.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SUPREMEIND,NSE,CASH,EQUITY,3363,SUPREMEIND-EQ,SUPREMEIND,SUPREMEIND.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_DIVISLAB,NSE,CASH,EQUITY,10940,DIVISLAB-EQ,DIVISLAB,DIVISLAB.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TMPV,NSE,CASH,EQUITY,3456,TMPV-EQ,TMPV,TMPV.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TORNTPHARM,NSE,CASH,EQUITY,3518,TORNTPHARM-EQ,TORNTPHARM,TORNTPHARM.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_KPITTECH,NSE,CASH,EQUITY,9683,KPITTECH-EQ,KPITTECH,KPITTECH.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_ASHOKLEY,NSE,CASH,EQUITY,212,ASHOKLEY-EQ,ASHOKLEY,ASHOKLEY.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_POWERGRID,NSE,CASH,EQUITY,14977,POWERGRID-EQ,POWERGRID,POWERGRID.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BAJFINANCE,NSE,CASH,EQUITY,317,BAJFINANCE-EQ,BAJFINANCE,BAJFINANCE.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SBICARD,NSE,CASH,EQUITY,17971,SBICARD-EQ,SBICARD,SBICARD.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SWIGGY,NSE,CASH,EQUITY,27066,SWIGGY-EQ,SWIGGY,SWIGGY.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_FEDERALBNK,NSE,CASH,EQUITY,1023,FEDERALBNK-EQ,FEDERALBNK,FEDERALBNK.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TATASTEEL,NSE,CASH,EQUITY,3499,TATASTEEL-EQ,TATASTEEL,TATASTEEL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_IDEA,NSE,CASH,EQUITY,14366,IDEA-EQ,IDEA,IDEA.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TITAN,NSE,CASH,EQUITY,3506,TITAN-EQ,TITAN,TITAN.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_AXISBANK,NSE,CASH,EQUITY,5900,AXISBANK-EQ,AXISBANK,AXISBANK.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_DELHIVERY,NSE,CASH,EQUITY,9599,DELHIVERY-EQ,DELHIVERY,DELHIVERY.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_HDFCBANK,NSE,CASH,EQUITY,1333,HDFCBANK-EQ,HDFCBANK,HDFCBANK.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SBIN,NSE,CASH,EQUITY,3045,SBIN-EQ,SBIN,SBIN.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_NMDC,NSE,CASH,EQUITY,15332,NMDC-EQ,NMDC,NMDC.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_HDFCAMC,NSE,CASH,EQUITY,4244,HDFCAMC-EQ,HDFCAMC,HDFCAMC.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TIINDIA,NSE,CASH,EQUITY,312,TIINDIA-EQ,TIINDIA,TIINDIA.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_PNB,NSE,CASH,EQUITY,10666,PNB-EQ,PNB,PNB.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BANKINDIA,NSE,CASH,EQUITY,4745,BANKINDIA-EQ,BANKINDIA,BANKINDIA.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_RELIANCE,NSE,CASH,EQUITY,2885,RELIANCE-EQ,RELIANCE,RELIANCE.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TVSMOTOR,NSE,CASH,EQUITY,8479,TVSMOTOR-EQ,TVSMOTOR,TVSMOTOR.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_HEROMOTOCO,NSE,CASH,EQUITY,1348,HEROMOTOCO-EQ,HEROMOTOCO,HEROMOTOCO.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_MCX,NSE,CASH,EQUITY,31181,MCX-EQ,MCX,MCX.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BAJAJ-AUTO,NSE,CASH,EQUITY,16669,BAJAJ-AUTO-EQ,BAJAJ-AUTO,BAJAJ-AUTO.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BEL,NSE,CASH,EQUITY,383,BEL-EQ,BEL,BEL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_TATAPOWER,NSE,CASH,EQUITY,3426,TATAPOWER-EQ,TATAPOWER,TATAPOWER.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_ICICIBANK,NSE,CASH,EQUITY,4963,ICICIBANK-EQ,ICICIBANK,ICICIBANK.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SUNPHARMA,NSE,CASH,EQUITY,3351,SUNPHARMA-EQ,SUNPHARMA,SUNPHARMA.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_LUPIN,NSE,CASH,EQUITY,10440,LUPIN-EQ,LUPIN,LUPIN.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_LAURUSLABS,NSE,CASH,EQUITY,19234,LAURUSLABS-EQ,LAURUSLABS,LAURUSLABS.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_FORTIS,NSE,CASH,EQUITY,14592,FORTIS-EQ,FORTIS,FORTIS.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_ASTRAL,NSE,CASH,EQUITY,14418,ASTRAL-EQ,ASTRAL,ASTRAL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_JINDALSTEL,NSE,CASH,EQUITY,6733,JINDALSTEL-EQ,JINDALSTEL,JINDALSTEL.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_SAMMAANCAP,NSE,CASH,EQUITY,30125,SAMMAANCAP-EQ,SAMMAANCAP,SAMMAANCAP.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_CGPOWER,NSE,CASH,EQUITY,760,CGPOWER-EQ,CGPOWER,CGPOWER.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_ONGC,NSE,CASH,EQUITY,2475,ONGC-EQ,ONGC,ONGC.NS,VALID,2026-05-16,True,YAHOO,
EQ_NSE_BANKBARODA,NSE,CASH,EQUITY,4668,BANKBARODA-EQ,BANKBARODA,BANKBARODA.NS,VALID,2026-05-16,True,YAHOO,
